Day, Time, Origin, Destination, DNS, Hop IP, Duration, Hop Count
Fri,00:06:05,rwanda,angola,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,2,1
Fri,00:06:05,rwanda,angola,41.74.174.49,41.74.174.49,4,2
Fri,00:06:05,rwanda,angola,197.243.126.165,197.243.126.165,5,3
Fri,00:06:05,rwanda,angola,192.168.1.253,192.168.1.253,5,4
Fri,00:06:05,rwanda,angola,192.168.1.230,192.168.1.230,5,5
Fri,00:06:05,rwanda,angola,197.243.126.29,197.243.126.29,5,6
Fri,00:06:05,rwanda,angola,41.223.224.210,41.223.224.210,3,7
Fri,00:06:05,rwanda,angola,197.155.94.164.liquidtelecom.net,197.155.94.164,69,8
Fri,00:06:05,rwanda,angola,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,69,9
Fri,00:06:05,rwanda,angola,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,25,10
Fri,00:06:05,rwanda,angola,gi2-0-0.lza-p2-jhb.liquidtelecom.net,77.246.57.69,76,11
Fri,00:06:05,rwanda,angola,eth-trunk-1-pe2-jhb.liquidtelecom.net,46.17.232.13,69,12
Fri,00:06:05,rwanda,angola,angolacables.ixp.joburg,196.60.8.60,262,13
Fri,00:06:05,rwanda,angola,pe2-ne026.ang.lad.as37468.angolacables.ao,197.149.149.117,263,14
Fri,00:06:05,rwanda,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,264,15
Fri,00:06:05,rwanda,angola,197.149.148.237,197.149.148.237,265,16
Fri,00:06:05,rwanda,angola,41.222.238.26,41.222.238.26,263,17
Fri,00:06:05,rwanda,angola,41.222.238.7,41.222.238.7,261,18
Fri,00:06:05,rwanda,angola,*,*,*,19
Fri,00:06:05,rwanda,angola,*,*,*,20
Fri,00:06:05,rwanda,angola,*,*,*,21
Fri,00:06:05,rwanda,angola,*,*,*,22
Fri,00:06:05,rwanda,angola,*,*,*,23
Fri,00:06:05,rwanda,angola,*,*,*,24
Fri,00:06:05,rwanda,angola,*,*,*,25
Fri,00:06:05,rwanda,angola,*,*,*,26
Fri,00:06:05,rwanda,angola,*,*,*,27
Fri,00:06:05,rwanda,angola,*,*,*,28
Fri,00:06:05,rwanda,angola,*,*,*,29
Fri,00:06:05,rwanda,angola,*,*,*,30
Fri,00:16:32,rwanda,angola,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Fri,00:16:32,rwanda,angola,41.74.174.49,41.74.174.49,4,2
Fri,00:16:32,rwanda,angola,197.243.126.165,197.243.126.165,5,3
Fri,00:16:32,rwanda,angola,192.168.1.253,192.168.1.253,5,4
Fri,00:16:32,rwanda,angola,192.168.1.230,192.168.1.230,5,5
Fri,00:16:32,rwanda,angola,197.243.126.29,197.243.126.29,5,6
Fri,00:16:32,rwanda,angola,41.223.224.210,41.223.224.210,4,7
Fri,00:16:32,rwanda,angola,197.155.94.164.liquidtelecom.net,197.155.94.164,70,8
Fri,00:16:32,rwanda,angola,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,69,9
Fri,00:16:32,rwanda,angola,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,25,10
Fri,00:16:32,rwanda,angola,gi2-0-0.lza-p2-jhb.liquidtelecom.net,77.246.57.69,68,11
Fri,00:16:32,rwanda,angola,eth-trunk-1-pe2-jhb.liquidtelecom.net,46.17.232.13,69,12
Fri,00:16:32,rwanda,angola,angolacables.ixp.joburg,196.60.8.60,255,13
Fri,00:16:32,rwanda,angola,pe2-ne026.ang.lad.as37468.angolacables.ao,197.149.149.117,261,14
Fri,00:16:32,rwanda,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,264,15
Fri,00:16:32,rwanda,angola,197.149.148.237,197.149.148.237,264,16
Fri,00:16:32,rwanda,angola,41.222.238.26,41.222.238.26,262,17
Fri,00:16:32,rwanda,angola,41.222.238.7,41.222.238.7,261,18
Fri,00:16:32,rwanda,angola,*,*,*,19
Fri,00:16:32,rwanda,angola,*,*,*,20
Fri,00:16:32,rwanda,angola,*,*,*,21
Fri,00:16:32,rwanda,angola,*,*,*,22
Fri,00:16:32,rwanda,angola,*,*,*,23
Fri,00:16:32,rwanda,angola,*,*,*,24
Fri,00:16:32,rwanda,angola,*,*,*,25
Fri,00:16:32,rwanda,angola,*,*,*,26
Fri,00:16:32,rwanda,angola,*,*,*,27
Fri,00:16:32,rwanda,angola,*,*,*,28
Fri,00:16:32,rwanda,angola,*,*,*,29
Fri,00:16:32,rwanda,angola,*,*,*,30
Thu,16:21:42,rwanda,angola,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,16:21:42,rwanda,angola,41.74.174.49,41.74.174.49,4,2
Thu,16:21:42,rwanda,angola,197.243.126.165,197.243.126.165,5,3
Thu,16:21:42,rwanda,angola,192.168.1.253,192.168.1.253,5,4
Thu,16:21:42,rwanda,angola,192.168.1.230,192.168.1.230,5,5
Thu,16:21:42,rwanda,angola,197.243.126.29,197.243.126.29,5,6
Thu,16:21:42,rwanda,angola,41.223.224.210,41.223.224.210,6,7
Thu,16:21:42,rwanda,angola,197.155.94.164.liquidtelecom.net,197.155.94.164,70,8
Thu,16:21:42,rwanda,angola,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,70,9
Thu,16:21:42,rwanda,angola,197.155.94.167.liquidtelecom.net,197.155.94.167,25,10
Thu,16:21:42,rwanda,angola,gi2-0-0.lza-p2-jhb.liquidtelecom.net,77.246.57.69,72,11
Thu,16:21:42,rwanda,angola,eth-trunk-1-pe2-jhb.liquidtelecom.net,46.17.232.13,75,12
Thu,16:21:42,rwanda,angola,angolacables.ixp.joburg,196.60.8.60,216,13
Thu,16:21:42,rwanda,angola,pe1-nc016.ang.lad.as37468.angolacables.ao,197.149.149.113,275,14
Thu,16:21:42,rwanda,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,275,15
Thu,16:21:42,rwanda,angola,197.149.148.237,197.149.148.237,275,16
Thu,16:21:42,rwanda,angola,*,*,*,17
Thu,16:21:42,rwanda,angola,41.222.238.7,41.222.238.7,272,18
Thu,16:21:42,rwanda,angola,*,*,*,19
Thu,16:21:42,rwanda,angola,*,*,*,20
Thu,16:21:42,rwanda,angola,*,*,*,21
Thu,16:21:42,rwanda,angola,*,*,*,22
Thu,16:21:42,rwanda,angola,*,*,*,23
Thu,16:21:42,rwanda,angola,*,*,*,24
Thu,16:21:42,rwanda,angola,*,*,*,25
Thu,16:21:42,rwanda,angola,*,*,*,26
Thu,16:21:42,rwanda,angola,*,*,*,27
Thu,16:21:42,rwanda,angola,*,*,*,28
Thu,16:21:42,rwanda,angola,*,*,*,29
Thu,16:21:42,rwanda,angola,*,*,*,30
Thu,16:24:02,rwanda,angola,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,16:24:02,rwanda,angola,41.74.174.49,41.74.174.49,4,2
Thu,16:24:02,rwanda,angola,197.243.126.165,197.243.126.165,5,3
Thu,16:24:02,rwanda,angola,192.168.1.253,192.168.1.253,5,4
Thu,16:24:02,rwanda,angola,192.168.1.230,192.168.1.230,5,5
Thu,16:24:02,rwanda,angola,197.243.126.29,197.243.126.29,22,6
Thu,16:24:02,rwanda,angola,41.223.224.210,41.223.224.210,4,7
Thu,16:24:02,rwanda,angola,197.155.94.164.liquidtelecom.net,197.155.94.164,68,8
Thu,16:24:02,rwanda,angola,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,68,9
Thu,16:24:02,rwanda,angola,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,25,10
Thu,16:24:02,rwanda,angola,gi2-0-0.lza-p2-jhb.liquidtelecom.net,77.246.57.69,71,11
Thu,16:24:02,rwanda,angola,eth-trunk-1-pe2-jhb.liquidtelecom.net,46.17.232.13,68,12
Thu,16:24:02,rwanda,angola,angolacables.ixp.joburg,196.60.8.60,205,13
Thu,16:24:02,rwanda,angola,pe1-nc016.ang.lad.as37468.angolacables.ao,197.149.149.113,263,14
Thu,16:24:02,rwanda,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,262,15
Thu,16:24:02,rwanda,angola,197.149.148.237,197.149.148.237,263,16
Thu,16:24:02,rwanda,angola,41.222.238.26,41.222.238.26,263,17
Thu,16:24:02,rwanda,angola,41.222.238.7,41.222.238.7,260,18
Thu,16:24:02,rwanda,angola,*,*,*,19
Thu,16:24:02,rwanda,angola,*,*,*,20
Thu,16:24:02,rwanda,angola,*,*,*,21
Thu,16:24:02,rwanda,angola,*,*,*,22
Thu,16:24:02,rwanda,angola,*,*,*,23
Thu,16:24:02,rwanda,angola,*,*,*,24
Thu,16:24:02,rwanda,angola,*,*,*,25
Thu,16:24:02,rwanda,angola,*,*,*,26
Thu,16:24:02,rwanda,angola,*,*,*,27
Thu,16:24:02,rwanda,angola,*,*,*,28
Thu,16:24:02,rwanda,angola,*,*,*,29
Thu,16:24:02,rwanda,angola,*,*,*,30
Thu,16:35:32,rwanda,angola,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,16:35:32,rwanda,angola,41.74.174.49,41.74.174.49,4,2
Thu,16:35:32,rwanda,angola,197.243.126.165,197.243.126.165,5,3
Thu,16:35:32,rwanda,angola,192.168.1.253,192.168.1.253,5,4
Thu,16:35:32,rwanda,angola,192.168.1.230,192.168.1.230,5,5
Thu,16:35:32,rwanda,angola,197.243.126.29,197.243.126.29,5,6
Thu,16:35:32,rwanda,angola,41.223.224.210,41.223.224.210,4,7
Thu,16:35:32,rwanda,angola,197.155.94.164.liquidtelecom.net,197.155.94.164,68,8
Thu,16:35:32,rwanda,angola,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,70,9
Thu,16:35:32,rwanda,angola,197.155.94.167.liquidtelecom.net,197.155.94.167,24,10
Thu,16:35:32,rwanda,angola,gi2-0-0.lza-p2-jhb.liquidtelecom.net,77.246.57.69,71,11
Thu,16:35:32,rwanda,angola,eth-trunk-1-pe2-jhb.liquidtelecom.net,46.17.232.13,68,12
Thu,16:35:32,rwanda,angola,angolacables.ixp.joburg,196.60.8.60,221,13
Thu,16:35:32,rwanda,angola,pe2-ne026.ang.lad.as37468.angolacables.ao,197.149.149.117,266,14
Thu,16:35:32,rwanda,angola,pe2-ne022.ang.lad.as37468.angolacables.ao,197.149.151.19,266,15
Thu,16:35:32,rwanda,angola,197.149.148.237,197.149.148.237,266,16
Thu,16:35:32,rwanda,angola,41.222.238.26,41.222.238.26,266,17
Thu,16:35:32,rwanda,angola,41.222.238.7,41.222.238.7,260,18
Thu,16:35:32,rwanda,angola,*,*,*,19
Thu,16:35:32,rwanda,angola,*,*,*,20
Thu,16:35:32,rwanda,angola,*,*,*,21
Thu,16:35:32,rwanda,angola,*,*,*,22
Thu,16:35:32,rwanda,angola,*,*,*,23
Thu,16:35:32,rwanda,angola,*,*,*,24
Thu,16:35:32,rwanda,angola,*,*,*,25
Thu,16:35:32,rwanda,angola,*,*,*,26
Thu,16:35:32,rwanda,angola,*,*,*,27
Thu,16:35:32,rwanda,angola,*,*,*,28
Thu,16:35:32,rwanda,angola,*,*,*,29
Thu,16:35:32,rwanda,angola,*,*,*,30
Thu,16:46:01,rwanda,angola,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,16:46:01,rwanda,angola,41.74.174.49,41.74.174.49,4,2
Thu,16:46:01,rwanda,angola,197.243.126.165,197.243.126.165,5,3
Thu,16:46:01,rwanda,angola,192.168.1.253,192.168.1.253,5,4
Thu,16:46:01,rwanda,angola,192.168.1.230,192.168.1.230,6,5
Thu,16:46:01,rwanda,angola,197.243.126.29,197.243.126.29,7,6
Thu,16:46:01,rwanda,angola,41.223.224.210,41.223.224.210,4,7
Thu,16:46:01,rwanda,angola,197.155.94.164.liquidtelecom.net,197.155.94.164,70,8
Thu,16:46:01,rwanda,angola,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,70,9
Thu,16:46:01,rwanda,angola,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,24,10
Thu,16:46:01,rwanda,angola,gi2-0-0.lza-p2-jhb.liquidtelecom.net,77.246.57.69,69,11
Thu,16:46:01,rwanda,angola,eth-trunk-1-pe2-jhb.liquidtelecom.net,46.17.232.13,70,12
Thu,16:46:01,rwanda,angola,angolacables.ixp.joburg,196.60.8.60,280,13
Thu,16:46:01,rwanda,angola,pe1-nc016.ang.lad.as37468.angolacables.ao,197.149.149.113,280,14
Thu,16:46:01,rwanda,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,280,15
Thu,16:46:01,rwanda,angola,197.149.148.237,197.149.148.237,272,16
Thu,16:46:01,rwanda,angola,41.222.238.26,41.222.238.26,260,17
Thu,16:46:01,rwanda,angola,41.222.238.7,41.222.238.7,260,18
Thu,16:46:01,rwanda,angola,*,*,*,19
Thu,16:46:01,rwanda,angola,*,*,*,20
Thu,16:46:01,rwanda,angola,*,*,*,21
Thu,16:46:01,rwanda,angola,*,*,*,22
Thu,16:46:01,rwanda,angola,*,*,*,23
Thu,16:46:01,rwanda,angola,*,*,*,24
Thu,16:46:01,rwanda,angola,*,*,*,25
Thu,16:46:01,rwanda,angola,*,*,*,26
Thu,16:46:01,rwanda,angola,*,*,*,27
Thu,16:46:01,rwanda,angola,*,*,*,28
Thu,16:46:01,rwanda,angola,*,*,*,29
Thu,16:46:01,rwanda,angola,*,*,*,30
Thu,16:56:35,rwanda,angola,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,16:56:35,rwanda,angola,41.74.174.49,41.74.174.49,13,2
Thu,16:56:35,rwanda,angola,197.243.126.165,197.243.126.165,16,3
Thu,16:56:35,rwanda,angola,192.168.1.253,192.168.1.253,16,4
Thu,16:56:35,rwanda,angola,*,*,*,5
Thu,16:56:35,rwanda,angola,197.243.126.29,197.243.126.29,18,6
Thu,16:56:35,rwanda,angola,*,*,*,7
Thu,16:56:35,rwanda,angola,197.155.94.164.liquidtelecom.net,197.155.94.164,69,8
Thu,16:56:35,rwanda,angola,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,69,9
Thu,16:56:35,rwanda,angola,197.155.94.167.liquidtelecom.net,197.155.94.167,22,10
Thu,16:56:35,rwanda,angola,gi2-0-0.lza-p2-jhb.liquidtelecom.net,77.246.57.69,69,11
Thu,16:56:35,rwanda,angola,eth-trunk-1-pe2-jhb.liquidtelecom.net,46.17.232.13,69,12
Thu,16:56:35,rwanda,angola,angolacables.ixp.joburg,196.60.8.60,293,13
Thu,16:56:35,rwanda,angola,pe2-ne026.ang.lad.as37468.angolacables.ao,197.149.149.117,295,14
Thu,16:56:35,rwanda,angola,pe1-ne011.ang.lad.as37468.angolacables.ao,197.149.151.3,267,15
Thu,16:56:35,rwanda,angola,197.149.148.237,197.149.148.237,267,16
Thu,16:56:35,rwanda,angola,41.222.238.26,41.222.238.26,267,17
Thu,16:56:35,rwanda,angola,41.222.238.7,41.222.238.7,260,18
Thu,16:56:35,rwanda,angola,*,*,*,19
Thu,16:56:35,rwanda,angola,*,*,*,20
Thu,16:56:35,rwanda,angola,*,*,*,21
Thu,16:56:35,rwanda,angola,*,*,*,22
Thu,16:56:35,rwanda,angola,*,*,*,23
Thu,16:56:35,rwanda,angola,*,*,*,24
Thu,16:56:35,rwanda,angola,*,*,*,25
Thu,16:56:35,rwanda,angola,*,*,*,26
Thu,16:56:35,rwanda,angola,*,*,*,27
Thu,16:56:35,rwanda,angola,*,*,*,28
Thu,16:56:35,rwanda,angola,*,*,*,29
Thu,16:56:35,rwanda,angola,*,*,*,30
Thu,17:07:00,rwanda,angola,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,17:07:00,rwanda,angola,41.74.174.49,41.74.174.49,4,2
Thu,17:07:00,rwanda,angola,197.243.126.165,197.243.126.165,5,3
Thu,17:07:00,rwanda,angola,192.168.1.253,192.168.1.253,5,4
Thu,17:07:00,rwanda,angola,192.168.1.230,192.168.1.230,6,5
Thu,17:07:00,rwanda,angola,197.243.126.29,197.243.126.29,6,6
Thu,17:07:00,rwanda,angola,41.223.224.210,41.223.224.210,5,7
Thu,17:07:00,rwanda,angola,197.155.94.164.liquidtelecom.net,197.155.94.164,71,8
Thu,17:07:00,rwanda,angola,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,71,9
Thu,17:07:00,rwanda,angola,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,25,10
Thu,17:07:00,rwanda,angola,gi2-0-0.lza-p2-jhb.liquidtelecom.net,77.246.57.69,72,11
Thu,17:07:00,rwanda,angola,eth-trunk-1-pe2-jhb.liquidtelecom.net,46.17.232.13,69,12
Thu,17:07:00,rwanda,angola,angolacables.ixp.joburg,196.60.8.60,294,13
Thu,17:07:00,rwanda,angola,pe1-nc016.ang.lad.as37468.angolacables.ao,197.149.149.113,294,14
Thu,17:07:00,rwanda,angola,pe2-ne022.ang.lad.as37468.angolacables.ao,197.149.151.19,294,15
Thu,17:07:00,rwanda,angola,197.149.148.237,197.149.148.237,294,16
Thu,17:07:00,rwanda,angola,41.222.238.26,41.222.238.26,294,17
Thu,17:07:00,rwanda,angola,41.222.238.7,41.222.238.7,266,18
Thu,17:07:00,rwanda,angola,*,*,*,19
Thu,17:07:00,rwanda,angola,*,*,*,20
Thu,17:07:00,rwanda,angola,*,*,*,21
Thu,17:07:00,rwanda,angola,*,*,*,22
Thu,17:07:00,rwanda,angola,*,*,*,23
Thu,17:07:00,rwanda,angola,*,*,*,24
Thu,17:07:00,rwanda,angola,*,*,*,25
Thu,17:07:00,rwanda,angola,*,*,*,26
Thu,17:07:00,rwanda,angola,*,*,*,27
Thu,17:07:00,rwanda,angola,*,*,*,28
Thu,17:07:00,rwanda,angola,*,*,*,29
Thu,17:07:00,rwanda,angola,*,*,*,30
Thu,17:17:39,rwanda,angola,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,17:17:39,rwanda,angola,41.74.174.49,41.74.174.49,8,2
Thu,17:17:39,rwanda,angola,197.243.126.165,197.243.126.165,9,3
Thu,17:17:39,rwanda,angola,192.168.1.253,192.168.1.253,9,4
Thu,17:17:39,rwanda,angola,192.168.1.230,192.168.1.230,9,5
Thu,17:17:39,rwanda,angola,197.243.126.29,197.243.126.29,11,6
Thu,17:17:39,rwanda,angola,41.223.224.210,41.223.224.210,9,7
Thu,17:17:39,rwanda,angola,197.155.94.164.liquidtelecom.net,197.155.94.164,70,8
Thu,17:17:39,rwanda,angola,teng0-2-0-0.lke-p2-nbi.liquidtelecom.net,197.155.94.96,70,9
Thu,17:17:39,rwanda,angola,ten-0-1-1-1-p1-msa.liquidtelecom.net,197.155.94.75,25,10
Thu,17:17:39,rwanda,angola,gi2-0-0.lza-p2-jhb.liquidtelecom.net,77.246.57.69,75,11
Thu,17:17:39,rwanda,angola,eth-trunk-1-pe2-jhb.liquidtelecom.net,46.17.232.13,75,12
Thu,17:17:39,rwanda,angola,angolacables.ixp.joburg,196.60.8.60,208,13
Thu,17:17:39,rwanda,angola,pe1-nc016.ang.lad.as37468.angolacables.ao,197.149.149.113,260,14
Thu,17:17:39,rwanda,angola,pe2-ne022.ang.lad.as37468.angolacables.ao,197.149.151.19,260,15
Thu,17:17:39,rwanda,angola,197.149.148.237,197.149.148.237,262,16
Thu,17:17:39,rwanda,angola,41.222.238.26,41.222.238.26,262,17
Thu,17:17:39,rwanda,angola,41.222.238.7,41.222.238.7,263,18
Thu,17:17:39,rwanda,angola,*,*,*,19
Thu,17:17:39,rwanda,angola,*,*,*,20
Thu,17:17:39,rwanda,angola,*,*,*,21
Thu,17:17:39,rwanda,angola,*,*,*,22
Thu,17:17:39,rwanda,angola,*,*,*,23
Thu,17:17:39,rwanda,angola,*,*,*,24
Thu,17:17:39,rwanda,angola,*,*,*,25
Thu,17:17:39,rwanda,angola,*,*,*,26
Thu,17:17:39,rwanda,angola,*,*,*,27
Thu,17:17:39,rwanda,angola,*,*,*,28
Thu,17:17:39,rwanda,angola,*,*,*,29
Thu,17:17:39,rwanda,angola,*,*,*,30
Thu,17:27:59,rwanda,angola,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,17:27:59,rwanda,angola,41.74.174.49,41.74.174.49,4,2
Thu,17:27:59,rwanda,angola,197.243.126.165,197.243.126.165,5,3
Thu,17:27:59,rwanda,angola,192.168.1.253,192.168.1.253,5,4
Thu,17:27:59,rwanda,angola,192.168.1.230,192.168.1.230,5,5
Thu,17:27:59,rwanda,angola,197.243.126.29,197.243.126.29,5,6
Thu,17:27:59,rwanda,angola,41.223.224.210,41.223.224.210,5,7
Thu,17:27:59,rwanda,angola,197.155.94.164.liquidtelecom.net,197.155.94.164,69,8
Thu,17:27:59,rwanda,angola,pos0-1-1-2-p1-msa.liquidtelecom.net,197.155.94.42,71,9
Thu,17:27:59,rwanda,angola,teng0-0-1-3-p1-msa.liquidtelecom.net,197.155.94.9,25,10
Thu,17:27:59,rwanda,angola,gi2-0-0.lza-p2-jhb.liquidtelecom.net,77.246.57.69,72,11
Thu,17:27:59,rwanda,angola,eth-trunk-1-pe2-jhb.liquidtelecom.net,46.17.232.13,69,12
Thu,17:27:59,rwanda,angola,*,*,*,13
Thu,17:27:59,rwanda,angola,pe1-nc016.ang.lad.as37468.angolacables.ao,197.149.149.113,305,14
Thu,17:27:59,rwanda,angola,pe2-ne022.ang.lad.as37468.angolacables.ao,197.149.151.19,305,15
Thu,17:27:59,rwanda,angola,197.149.148.237,197.149.148.237,305,16
Thu,17:27:59,rwanda,angola,41.222.238.26,41.222.238.26,305,17
Thu,17:27:59,rwanda,angola,41.222.238.7,41.222.238.7,304,18
Thu,17:27:59,rwanda,angola,*,*,*,19
Thu,17:27:59,rwanda,angola,*,*,*,20
Thu,17:27:59,rwanda,angola,*,*,*,21
Thu,17:27:59,rwanda,angola,*,*,*,22
Thu,17:27:59,rwanda,angola,*,*,*,23
Thu,17:27:59,rwanda,angola,*,*,*,24
Thu,17:27:59,rwanda,angola,*,*,*,25
Thu,17:27:59,rwanda,angola,*,*,*,26
Thu,17:27:59,rwanda,angola,*,*,*,27
Thu,17:27:59,rwanda,angola,*,*,*,28
Thu,17:27:59,rwanda,angola,*,*,*,29
Thu,17:27:59,rwanda,angola,*,*,*,30
Thu,17:38:53,rwanda,angola,rwanda-fw-252.net.rwanda.cmu.local,172.29.52.1,1,1
Thu,17:38:53,rwanda,angola,41.74.174.49,41.74.174.49,4,2
Thu,17:38:53,rwanda,angola,197.243.126.165,197.243.126.165,5,3
Thu,17:38:53,rwanda,angola,192.168.1.253,192.168.1.253,5,4
Thu,17:38:53,rwanda,angola,192.168.1.230,192.168.1.230,5,5
